0x2762122,01C2
0x2762125,500310
0x276212A,0000
0x27820C5,0E0196
0x27820C9,50
0x27820CB,6C
0x27820CF,7F
0x27820D2,1101
0x2782176,03ED
0x27821F5,5501A7
0x27821FA,053C
0x27821FD,07
0x27821FF,11
0x2782201,7F0304
0x2782205,550162
0x2782209,A002C8
0x278220D,07
0x278220F,0F
0x2782211,7F0305
0x2782215,5501C3
0x2782219,5002D6
0x278221D,07
0x278221F,10
0x2782221,7F0306
0x2782225,0E01B7
0x2782229,50
0x278222B,39
0x278222D,07
0x2782231,7F1201
0x2791105,55
0x2791107,5C
0x279110B,3C
0x279110F,12
0x2791112,0307
0x2791115,39
0x2791117,5C
0x279111B,0F
0x279111D,02
0x2791121,55287F
0x2791235,55FBF0
0x279123A,02BD
0x279123D,07
0x279123F,13
0x2791241,7F0308
0x2791246,FBF0
0x279124A,0290
0x279124D,05
0x2791251,2A20
0x2791257,5C
0x279125A,050F
0x2791266,FBF0
0x279126A,0290
0x279126D,02
0x2791271,5528
