0x0AEEBBC,2963
0x0AEF96A,6934
0x0AF5725,D0
0x0C572BD,D1
0x0C572C1,D1
0x0C572C5,EF
0x0C572C8,4603
0x0C572D1,DC
0x0C5834F,2D
0x0C58351,45
0x0C58353,63
0x0C58357,28
0x0C58359,3C
0x0C5835B,63
0x0C5836E,270F7FFF
0x0C58377,2D
0x0C58379,45
0x0C5837B,63
0x0C5837F,2A
0x0C58381,5A
0x0C58383,63
0x0C58387,35
0x0C58389,4A
0x0C5838B,63
0x0CD7C48,1E
0x1F1E089,0EFD75FFD7028F
0x1F1E096,0506
0x225105D,0E00A0FD6E1960
0x225106A,0206
0x25C5096,00D2
0x25C51C4,014AF34E
0x25C51CA,0DE8
0x25C51CE,0AFA
0x25C51D2,FF01
0x25C5C93,1F
0x25C5CD2,1F
0x27C10AD,0EFF33
0x27C10B1,4A0811
0x27C10BA,0406
0x2837091,0EFD2DFFD70277
0x283709F,06
0x287CD9D,0C
0x287CDA6,0D04
0x2B34075,0E05670114F9A9
0x2B34082,0206
0x2D91403,08
0x2D91463,08
0x2D914C3,08
0x2D91523,08
0x2D91583,08
0x2D915E3,08
0x2D91647,08
0x2E120DF,02
0x2E1216F,01
